type	x	y
3	0	0
2	20	0
3	40	0
1	60	0
3	80	0
1	100	0
3	120	0
1	140	0
2	160	0
1	180	0
3	200	0
3	220	0
1	240	0
2	260	0
3	280	0
1	300	0
3	320	0
3	340	0
3	360	0
1	380	0
1	400	0
1	420	0
3	440	0
2	460	0
1	480	0
3	500	0
2	520	0
1	540	0
2	560	0
1	580	0
2	600	0
3	620	0
3	640	0
2	660	0
2	680	0
1	700	0
3	720	0
1	0	60
3	20	60
2	40	60
3	60	60
3	80	60
3	100	60
1	120	60
3	140	60
2	160	60
2	180	60
3	200	60
1	220	60
3	240	60
1	260	60
2	280	60
2	300	60
1	320	60
3	340	60
1	360	60
3	380	60
1	400	60
1	420	60
1	440	60
2	460	60
3	480	60
1	500	60
3	520	60
2	540	60
2	560	60
1	580	60
3	600	60
1	620	60
3	640	60
3	660	60
3	680	60
2	700	60
3	720	60
2	0	120
2	20	120
3	40	120
1	60	120
3	80	120
1	100	120
1	120	120
1	140	120
3	160	120
3	180	120
2	200	120
3	220	120
1	240	120
2	260	120
3	280	120
2	300	120
2	320	120
1	340	120
2	360	120
2	380	120
1	400	120
1	420	120
2	440	120
3	460	120
2	480	120
3	500	120
2	520	120
2	540	120
1	560	120
1	580	120
2	600	120
1	620	120
2	640	120
1	660	120
3	680	120
1	700	120
1	720	120
2	0	180
1	20	180
1	40	180
1	60	180
3	80	180
1	100	180
3	120	180
3	140	180
1	160	180
3	180	180
2	200	180
2	220	180
1	240	180
1	260	180
2	280	180
1	300	180
2	320	180
1	340	180
2	360	180
3	380	180
2	400	180
2	420	180
1	440	180
2	460	180
1	480	180
1	500	180
1	520	180
3	540	180
2	560	180
1	580	180
1	600	180
3	620	180
2	640	180
1	660	180
2	680	180
1	700	180
1	720	180
2	0	240
3	20	240
1	40	240
2	60	240
2	80	240
1	100	240
2	120	240
2	140	240
3	160	240
1	180	240
3	200	240
1	220	240
3	240	240
2	260	240
2	280	240
2	300	240
2	320	240
2	340	240
1	360	240
1	380	240
2	400	240
3	420	240
1	440	240
1	460	240
1	480	240
2	500	240
1	520	240
3	540	240
1	560	240
3	580	240
2	600	240
2	620	240
2	640	240
2	660	240
2	680	240
1	700	240
2	720	240
3	0	300
2	20	300
2	40	300
3	60	300
2	80	300
2	100	300
3	120	300
2	140	300
1	160	300
2	180	300
1	200	300
2	220	300
2	240	300
3	260	300
1	280	300
1	300	300
3	320	300
1	340	300
3	360	300
1	380	300
1	400	300
2	420	300
1	440	300
2	460	300
1	480	300
3	500	300
3	520	300
3	540	300
2	560	300
1	580	300
1	600	300
3	620	300
2	640	300
1	660	300
1	680	300
1	700	300
3	720	300
2	0	360
3	20	360
3	40	360
1	60	360
1	80	360
3	100	360
1	120	360
2	140	360
2	160	360
1	180	360
2	200	360
1	220	360
2	240	360
2	260	360
2	280	360
3	300	360
2	320	360
1	340	360
3	360	360
3	380	360
2	400	360
3	420	360
3	440	360
1	460	360
3	480	360
1	500	360
2	520	360
1	540	360
3	560	360
3	580	360
2	600	360
2	620	360
3	640	360
2	660	360
3	680	360
2	700	360
3	720	360
2	0	420
3	20	420
3	40	420
2	60	420
3	80	420
1	100	420
1	120	420
3	140	420
2	160	420
3	180	420
3	200	420
1	220	420
1	240	420
1	260	420
1	280	420
1	300	420
2	320	420
1	340	420
2	360	420
2	380	420
3	400	420
3	420	420
1	440	420
3	460	420
2	480	420
1	500	420
2	520	420
1	540	420
2	560	420
2	580	420
3	600	420
3	620	420
1	640	420
3	660	420
3	680	420
2	700	420
1	720	420
1	0	480
1	20	480
3	40	480
2	60	480
1	80	480
2	100	480
2	120	480
1	140	480
3	160	480
3	180	480
2	200	480
1	220	480
3	240	480
3	260	480
3	280	480
2	300	480
2	320	480
3	340	480
2	360	480
2	380	480
3	400	480
1	420	480
2	440	480
1	460	480
1	480	480
3	500	480
2	520	480
2	540	480
1	560	480
2	580	480
1	600	480
2	620	480
3	640	480
1	660	480
3	680	480
3	700	480
3	720	480
